stamp_sec,stamp_nsec,stamp_ns,name,x,y,z,theta,qx,qy,qz,qw
1783948633,902091774,1783948633902091774,Pololu10,-1.016257644,-0.9701172709,0.05143271387,-0.06791241403,0.00692322664,-0.005420292262,-0.03391157836,0.9993861914
1783948633,912562940,1783948633912562940,Pololu10,-1.016271234,-0.9701276422,0.05142269284,-0.0679834315,0.007009019144,-0.006042823661,-0.03394190967,0.9993809462
1783948633,922484084,1783948633922484084,Pololu10,-1.016277909,-0.9701254368,0.0514202863,-0.06811114548,0.00706572691,-0.006175226998,-0.03400438279,0.9993776679
1783948633,932305067,1783948633932305067,Pololu10,-1.016263247,-0.9701319337,0.05142063648,-0.06821478565,0.007098668721,-0.006031102501,-0.0340570882,0.9993764758
1783948633,942102757,1783948633942102757,Pololu10,-1.016260266,-0.9701290131,0.05142920464,-0.0684244019,0.007218498271,-0.00593113061,-0.03416192159,0.9993726611
1783948633,952949928,1783948633952949928,Pololu10,-1.016274452,-0.9701287746,0.051425796,-0.0681697875,0.007191776764,-0.005837847013,-0.03403556719,0.9993777275
1783948633,962771835,1783948633962771835,Pololu10,-1.016279221,-0.9701316953,0.05140822381,-0.06826615692,0.007105839439,-0.006403663661,-0.03407983854,0.9993733764
1783948633,972902145,1783948633972902145,Pololu10,-1.016284108,-0.9701180458,0.05141167715,-0.06854836742,0.00701324502,-0.006476784591,-0.03422086686,0.9993687272
1783948633,982610025,1783948633982610025,Pololu10,-1.016272664,-0.9701231718,0.05141850188,-0.06829831262,0.007054959424,-0.006262910087,-0.03409730271,0.9993739724
1783948633,993035467,1783948633993035467,Pololu10,-1.016267657,-0.9701216221,0.05142414942,-0.06812298066,0.006996882614,-0.006069801748,-0.03401150554,0.999378562
1783948634,2597398,1783948634002597398,Pololu10,-1.016271234,-0.9701223373,0.05142650008,-0.06819381564,0.006949492265,-0.006138949655,-0.03404665366,0.9993773103
1783948634,12556211,1783948634012556211,Pololu10,-1.016270995,-0.9701230526,0.05142457783,-0.0681873227,0.007004763465,-0.006169314496,-0.03404285386,0.9993768334
1783948634,22820489,1783948634022820489,Pololu10,-1.016279697,-0.9701246619,0.05141048506,-0.06824256905,0.007030512672,-0.006147071719,-0.03407047689,0.9993758798
1783948634,32944984,1783948634032944984,Pololu10,-1.016272306,-0.9701187015,0.05142008513,-0.06838844593,0.007140489761,-0.006169308908,-0.03414255381,0.9993724227
1783948634,42414283,1783948634042414283,Pololu10,-1.01628232,-0.97012043,0.05141095445,-0.06823933939,0.007050454617,-0.006430689245,-0.03406656906,0.9993740916
1783948634,52672971,1783948634052672971,Pololu10,-1.016277671,-0.9701274633,0.05141811818,-0.06817925597,0.007009662688,-0.006105825305,-0.03403927758,0.9993773103
1783948634,62455105,1783948634062455105,Pololu10,-1.016283989,-0.9701232314,0.05141674727,-0.06836732358,0.007120516151,-0.006366855465,-0.03413058445,0.9993718266
1783948634,73337941,1783948634073337941,Pololu10,-1.016294956,-0.9701276422,0.05140091851,-0.06835781878,0.007176541723,-0.006477767602,-0.03412462771,0.999370873
1783948634,82434780,1783948634082434780,Pololu10,-1.016267896,-0.9701225162,0.05142024532,-0.06830545681,0.006999791134,-0.00589071773,-0.03410403058,0.9993764758
1783948634,92509796,1783948634092509796,Pololu10,-1.016278505,-0.9701274037,0.05142072216,-0.06807156812,0.007099809591,-0.006142774131,-0.03398465365,0.9993783236
1783948634,102869608,1783948634102869608,Pololu10,-1.016275764,-0.9701232314,0.05142103508,-0.06841338588,0.007081174292,-0.006248362828,-0.03415475786,0.9993719459
1783948634,112357327,1783948634112357327,Pololu10,-1.016278505,-0.9701309204,0.05141381919,-0.06837410032,0.007186116185,-0.006094021723,-0.034135703,0.9993727803
1783948634,122495126,1783948634122495126,Pololu10,-1.016273022,-0.9701279402,0.05142666027,-0.06866697853,0.007298900746,-0.006072498858,-0.03428156301,0.9993671775
1783948634,132408319,1783948634132408319,Pololu10,-1.016278505,-0.9701188803,0.05140639096,-0.06834268279,0.007070449181,-0.005978271365,-0.03412156552,0.9993748069
